danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.316,0.774,0.0727,0.216,0.00252,0.394,0.439,144.129,7
0.229,0.859,0.0616,7.75e-05,0.00117,0.868,0.477,98.044,7
0.188,0.785,0.0589,0.000122,0.000162,0.942,0.344,103.356,7
0.233,0.598,0.0643,0.577,0.343,0.963,0.175,71.011,7
0.26,0.615,0.066,0.00322,0.087,0.84,0.363,134.116,7
0.299,0.88,0.0571,0.0874,0.678,0.463,0.076,116.446,7
0.209,0.617,0.0484,0.000518,0.0967,0.645,0.37,97.508,7
0.401,0.893,0.437,0.0617,0.0391,0.164,0.406,87.979,7
0.507,0.837,0.0624,0.174,0.814,0.0906,0.318,107.013,7
0.503,0.265,0.0333,0.943,0.045,0.0867,0.522,78.044,7
0.271,0.766,0.0329,0.00217,0.52,0.0707,0.803,142.914,7
0.552,0.919,0.0364,0.00273,0.0133,0.137,0.772,122.948,7
0.542,0.673,0.0296,0.0214,0.000444,0.281,0.505,88.039,7
0.577,0.832,0.0253,0.0101,0.000442,0.0863,0.847,129.157,7
0.402,0.753,0.0309,0.0195,0.00524,0.0501,0.199,126.659,7
0.615,0.495,0.0291,0.056,0.000801,0.11,0.248,115.089,7
0.437,0.895,0.0304,0.00354,0.125,0.0755,0.468,109.098,7
0.306,0.766,0.0416,0.0221,0.872,0.143,0.543,169.745,7
0.569,0.93,0.0756,0.0204,0.235,0.205,0.48,113.966,7
0.528,0.537,0.062,0.397,0.0691,0.59,0.35,99.039,7
0.335,0.0464,0.0693,0.696,0.96,0.209,0.0378,60.069,7
0.507,0.588,0.0641,0.0359,0.000129,0.373,0.637,170.889,7
0.34,0.959,0.154,0.472,0.000244,0.307,0.38,170.34,7
0.242,0.992,0.0988,0.0148,0.113,0.833,0.374,159.37,7
0.375,0.912,0.0736,0.0169,0.88,0.31,0.325,141.435,7
0.521,0.686,0.046,0.121,0.474,0.577,0.381,116.119,7
0.376,0.756,0.0657,0.136,0.0155,0.376,0.454,146.114,7
0.416,0.823,0.0879,0.196,0.424,0.157,0.145,100.818,7
0.393,0.385,0.0272,0.857,0.134,0.26,0.24,98.053,7
0.353,0.593,0.0457,0.311,0.0,0.0685,0.488,82.56,7
0.409,0.545,0.0835,0.0581,0.00597,0.152,0.686,90.536,7
0.292,0.306,0.0547,0.184,0.0046,0.144,0.131,79.406,7
0.381,0.734,0.0933,0.0797,0.0469,0.173,0.565,96.614,7
0.475,0.808,0.037,0.000942,7.97e-06,0.146,0.896,152.098,7
0.456,0.549,0.0343,0.186,0.00227,0.0877,0.834,98.583,7
0.461,0.41,0.0623,0.0945,0.9,0.551,0.375,100.335,7
0.345,0.461,0.0645,0.479,0.0184,0.0993,0.171,96.346,7
0.437,0.864,0.0904,0.396,0.0314,0.242,0.749,81.394,7
0.317,0.887,0.0375,0.000582,0.00258,0.0891,0.871,169.613,7
0.42,0.662,0.0341,0.656,0.000423,0.096,0.378,147.949,7
0.184,0.112,0.0446,0.946,0.908,0.666,0.0523,71.696,7
0.464,0.563,0.0445,0.363,0.0,0.12,0.897,96.279,7
0.632,0.415,0.0247,0.366,0.0896,0.072,0.674,98.18,7
0.565,0.645,0.0484,0.0552,2.84e-06,0.151,0.836,99.3,7
0.099,0.0799,0.0432,0.957,0.94,0.126,0.0544,68.022,7
0.492,0.185,0.0403,0.822,8.73e-06,0.28,0.3,96.347,7
0.48,0.374,0.035,0.107,0.000116,0.173,0.367,87.927,7
0.43,0.68,0.0321,0.499,0.0997,0.335,0.463,127.305,7
0.633,0.674,0.0475,0.409,0.502,0.033,0.809,102.104,7
0.596,0.448,0.0396,0.365,5.3e-06,0.206,0.796,83.293,7
0.289,0.59,0.0419,0.87,0.00595,0.942,0.415,152.482,7
0.349,0.339,0.0279,0.665,0.0326,0.147,0.519,176.349,7
0.365,0.346,0.057,0.8,0.967,0.136,0.0403,72.832,7
0.585,0.619,0.0324,0.0405,3.48e-05,0.326,0.933,122.872,7
0.392,0.389,0.0422,0.497,0.702,0.297,0.251,103.659,7
0.696,0.524,0.045,0.00334,0.0331,0.36,0.79,131.079,7
0.0,2.8e-05,0.0,0.0184,0.206,0.109,0.0,0.0,7
0.422,0.396,0.0539,0.104,0.0435,0.121,0.294,134.38,7
0.487,0.344,0.0264,0.0249,0.00946,0.384,0.17,84.322,7
0.553,0.297,0.0391,0.34,0.959,0.0851,0.535,103.681,7
0.502,0.957,0.0524,0.00604,0.000192,0.132,0.707,140.05,7
0.419,0.969,0.0979,0.000326,0.000674,0.0927,0.51,159.989,7
0.518,0.895,0.0459,0.000241,5.28e-05,0.0702,0.278,127.965,7
0.267,0.953,0.096,0.00211,0.0,0.283,0.568,84.989,7
0.65,0.921,0.0359,0.000798,0.0298,0.134,0.648,119.8,7
0.581,0.812,0.0348,0.000729,0.00766,0.148,0.355,108.901,7
0.589,0.906,0.0479,0.000157,0.0174,0.321,0.514,130.918,7
0.445,0.962,0.0786,5.03e-05,0.26,0.448,0.418,75.569,7
0.641,0.975,0.0474,0.00548,0.00793,0.0828,0.585,134.034,7
0.557,0.94,0.0538,0.000478,0.0176,0.074,0.45,133.302,7
0.602,0.877,0.0514,0.000327,0.634,0.0551,0.617,123.679,7
0.536,0.812,0.0443,0.00306,0.000487,0.116,0.337,94.672,7
